Year,Black coal,Brown coal,Crude oil,Condensate,LPG,Natural Gas,Uranium
2002,"3,912",573,"25,516","17,488","8,119","19,881",49
2003,"4,785",600,"29,029","21,732","8,629","24,754",34
2004,"9,593",450,"33,028","23,558","8,823","31,121",32
2005,"13,318",555,"37,485","27,209","9,021","42,190",93
2006,"12,911",979,"40,001","29,823","9,950","45,346",431
2007,"38,971","1,495","56,124","37,733","11,262","64,453",174
2008,"74,742","1,159","61,033","37,121","12,435","68,324",270
2009,"88,107",311,"57,350","37,699","12,247","77,059",172
2010,"73,546",225,"51,323","38,069","11,393","88,510",399
2011,"59,404",214,"49,144","37,711","10,400","108,406",182
2012,"17,450",282,"40,903","33,459","7,573","114,445",384
2013,"2,923",332,"38,310","35,572","7,485","151,502",226
2014,"3,070",187,"33,021","33,227","6,848","162,491",257
2015,"2,670",260,"26,577","26,596","5,072","161,345",158
2016,744,335,"20,476","20,381","3,660","179,574",489
2017,960,385,"17,699","17,362","2,382","199,506",909
2018,811,385,"13,420","15,705",821,"227,550",900
