Input,Commodity,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Production of Energy,Black coal,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Production of Energy,Natural gas,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Production of Energy,LNG,426,431,576,654,780,744,838,987,"1,102","1,041","1,298","1,284","1,383","2,016","2,855","3,376"
Production of Energy,Crude oil and feedstocks,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Production of Energy,LPG,126,125,127,130,150,132,134,136,117,118,114,116,99,99,83,82
Production of Energy,Electricity,11,12,9,9,12,13,14,17,18,18,10,11,11,22,22,24
Production of Energy,Residuals,103,106,117,130,151,151,163,159,164,164,180,191,197,237,309,346
Production of Energy,Electricity,7,7,9,9,10,12,11,12,12,12,25,28,31,37,36,37
Production of Energy,Uranium,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Production of Energy,Residuals,2,3,2,2,2,0,9,7,7,7,5,3,0,2,9,6
Natural Input,Black coal,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Natural Input,Natural gas,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Natural Input,Crude oil and feedstocks,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Natural Input,LPG,126,125,127,130,150,132,134,136,117,118,114,116,99,99,83,82
Natural Input,Uranium,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Transformation of Energy Products,Natural gas,539,547,702,793,942,908,"1,015","1,162","1,283","1,223","1,486","1,484","1,589","2,275","3,186","3,746"
Transformation of Energy Products,Diesel,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1
Transformation of Energy Products,Natural gas,3,4,4,4,5,5,5,6,6,6,19,20,20,21,27,30
Transformation of Energy Products,Diesel,6,6,6,6,6,7,7,7,8,8,8,8,8,7,7,7
End Use of Energy Products,Diesel,61,64,68,69,70,74,76,78,83,89,101,103,97,103,112,121
End Use of Energy Products,Electricity,17,18,18,18,19,19,20,19,20,20,22,23,23,23,23,22
End Use of Energy Products,Natural gas,13,14,14,12,20,24,31,30,31,35,26,27,28,66,59,59
End Use of Energy Products,Crude oil and feedstocks,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
End Use of Energy Products,Diesel,8,8,8,9,9,9,9,10,10,11,10,11,9,13,9,8
End Use of Energy Products,Electricity,7,7,8,10,11,11,10,11,13,13,13,18,20,31,39,45
End Use of Energy Products,Natural gas,7,8,7,6,10,11,13,13,13,18,47,48,48,70,64,63
End Use of Energy Products,Diesel,76,79,83,85,86,92,93,96,102,110,115,120,139,145,150,152
End Use of Energy Products,Other refined fuels and products,2,2,3,3,3,4,3,4,4,6,7,8,6,0,0,5
End Use of Energy Products,LPG,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
End Use of Energy Products,Electricity,28,30,30,38,37,37,43,45,53,54,60,64,65,66,68,70
