Date,Sex,Location,Employed full-time ('000),Employed part-time ('000)
2002,Males,NSW,1.39163482,0
2002,Males,NSW,13.43917492,0
2002,Males,VIC,1.19888092,0.35408597
2002,Males,VIC,2.77636417,0
2002,Males,QLD,3.02951629,0.26645255
2002,Males,QLD,13.44190256,0
2002,Males,SA,2.25548114,0.16985069
2002,Males,SA,0.75157245,0
2002,Males,WA,15.92291843,0.18229721
2002,Males,WA,14.64294949,0.19786015
2002,Males,TAS,1.64060058,0.18069099
2002,Males,NT,1.41601854,0.14460338
2002,Males,NT,0.09535705,0
2002,Females,NSW,0.3223432,0
2002,Females,NSW,0.35777097,0.36781134
2002,Females,VIC,0.53095302,0.27043536
2002,Females,QLD,0.31313439,0.24789735
2002,Females,QLD,1.00145697,0
2002,Females,SA,0.3313664,0
2002,Females,SA,0,0.14329336
2002,Females,WA,2.44619423,0.83931465
2002,Females,WA,2.27029972,0.20057831
2002,Females,NT,0.31760634,0
2002,Males,NSW,1.76531093,0
2002,Males,NSW,11.67211304,0.32953584
2002,Males,VIC,2.64779519,0.25759352
2002,Males,VIC,1.42236295,0
2002,Males,QLD,2.98199178,0
2002,Males,QLD,14.20527855,0
2002,Males,SA,2.43313929,0
2002,Males,SA,0.42145219,0.16853871
2002,Males,WA,16.55202309,0
2002,Males,WA,13.68521257,0
2002,Males,TAS,1.53567489,0.18043016
2002,Males,NT,1.24333496,0
2002,Females,NSW,1.00428397,0.33312849
2002,Females,VIC,0.27151432,0.26740376
2002,Females,QLD,0.2034171,0
2002,Females,QLD,1.28392617,0
2002,Females,SA,0.48943434,0
2002,Females,WA,3.34773977,0.52295954
2002,Females,WA,3.14095221,0
2002,Females,NT,0.55274639,0
2002,Males,NSW,1.82618018,0
2002,Males,NSW,11.63953511,0
2002,Males,VIC,4.0834037,0
2002,Males,VIC,1.99032188,0
2002,Males,QLD,2.08497795,0
2002,Males,QLD,13.57305823,0
2002,Males,SA,3.07854831,0
2002,Males,SA,0.51678847,0.17682261
2002,Males,WA,17.07151774,0
2002,Males,WA,10.68596616,0.16147055
2002,Males,TAS,0.18361323,0
2002,Males,TAS,1.4103321,0
2002,Males,NT,1.75771714,0
2002,Females,NSW,0.6387399,0
2002,Females,NSW,0.68060895,0
2002,Females,VIC,0,0.25529048
2002,Females,QLD,0.23556378,0
2002,Females,QLD,0.99437073,0.23127307
2002,Females,WA,3.26945608,0.17524231
2002,Females,WA,2.36848023,0
2002,Females,TAS,0.16364039,0.0848217
2002,Females,NT,0.32281734,0
2002,Males,NSW,3.16333556,0
2002,Males,NSW,11.82904437,0.57393651
2002,Males,VIC,3.95245368,0
2002,Males,VIC,3.70257073,0
2002,Males,QLD,2.77586969,0.2322937
2002,Males,QLD,17.45089129,0
2002,Males,SA,2.7415224,0
2002,Males,SA,0.36996503,0
2002,Males,WA,18.26858258,0.16989856
2002,Males,WA,10.66747941,0
2002,Males,TAS,0.3092108,0
2002,Males,TAS,1.68690876,0.08023553
2002,Males,NT,2.47841634,0
2002,Females,NSW,0.33411222,0
2002,Females,VIC,0.36440184,0.28435689
2002,Females,QLD,0.49148787,0
2002,Females,QLD,1.52308211,0
2002,Females,SA,0,0.18314782
2002,Females,WA,2.32094363,1.09363702
2002,Females,WA,1.67885732,0.40078923
2002,Females,TAS,0.09974774,0
2002,Females,NT,0.18162698,0.16282135
2003,Males,NSW,3.95829964,0.34568116
2003,Males,NSW,16.67087707,0.74779976
2003,Males,VIC,3.6730687,0.24602698
2003,Males,VIC,3.3993642,0
2003,Males,QLD,3.99005423,0
2003,Males,QLD,11.350361,0
2003,Males,SA,2.15845951,0
2003,Males,SA,4.88681147,0
2003,Males,WA,17.69628945,0.37610409
2003,Males,WA,11.61283203,0.1582742
2003,Males,TAS,0.17740899,0
2003,Males,TAS,1.62247269,0.06551557
2003,Males,NT,2.21015761,0
2003,Females,NSW,0.35098854,0
2003,Females,NSW,0,0.42977097
2003,Females,VIC,0.66345404,0.87793608
2003,Females,QLD,0.80779627,0
2003,Females,SA,0,0.13727241
2003,Females,SA,0.1219023,0
2003,Females,WA,3.47574792,0.56868693
2003,Females,WA,0.85583809,0.16808751
2003,Females,TAS,0.16934204,0
2003,Females,NT,0.37218344,0
2003,Males,NSW,2.62529003,0
2003,Males,NSW,11.40971198,0.8003959
2003,Males,VIC,3.15481289,0.66378879
2003,Males,VIC,3.42410172,0
2003,Males,QLD,2.12841868,0
2003,Males,QLD,12.60039336,0.53401099
2003,Males,SA,1.96640951,0
2003,Males,SA,4.24746167,0
2003,Males,WA,15.82985554,0.1767026
2003,Males,WA,12.82620832,0
2003,Males,TAS,0.09443033,0
2003,Males,TAS,1.43727864,0.11150576
2003,Males,NT,1.79551049,0
2003,Males,NT,0.18315786,0
2003,Females,NSW,0.36073567,0
2003,Females,VIC,0.57109684,0.24157929
2003,Females,VIC,0.29329495,0
2003,Females,QLD,0.80595165,0
2003,Females,QLD,1.5978021,0.28589264
2003,Females,SA,0.15333766,0.13087235
2003,Females,SA,0.28509826,0.17219518
2003,Females,WA,4.77199836,0.35770667
2003,Females,WA,1.22583135,0
2003,Females,NT,0.31185462,0
2003,Males,NSW,1.20625305,0
2003,Males,NSW,13.52492389,0.32906831
2003,Males,VIC,2.18921699,0.2652627
2003,Males,VIC,2.09300939,0.28000971
2003,Males,QLD,3.18104366,0
2003,Males,QLD,14.07087444,0.29246643
2003,Males,SA,1.82408974,0
2003,Males,SA,3.83630393,0
2003,Males,WA,13.85227524,0.57020161
2003,Males,WA,10.37703189,0
2003,Males,TAS,0.18830664,0
2003,Males,TAS,1.47897086,0
2003,Males,NT,1.57444867,0
2003,Females,NSW,0,0.82864693
2003,Females,VIC,0.57090605,0
2003,Females,VIC,0.61165237,0
2003,Females,QLD,0.50455585,0
2003,Females,QLD,0.54615348,0
2003,Females,SA,0.15941398,0
2003,Females,SA,0.47725852,0
2003,Females,WA,4.00789379,0.51597763
2003,Females,WA,0.75508511,0
2003,Females,TAS,0.07849928,0.09494362
2003,Females,NT,0.08792927,0
2003,Males,NSW,2.15979888,0.39703469
2003,Males,NSW,13.61249522,0
2003,Males,VIC,2.16113208,0.26846313
2003,Males,VIC,2.24708293,0
2003,Males,QLD,1.86904232,0.26917646
2003,Males,QLD,17.27143278,0.27200467
2003,Males,SA,2.47808635,0
2003,Males,SA,4.06542705,0
2003,Males,WA,16.90689547,0.53653333
2003,Males,WA,11.76702738,0
2003,Males,TAS,0.1756304,0
2003,Males,TAS,1.6768729,0
2003,Males,NT,2.05833261,0
2003,Males,NT,0.10200554,0
2003,Females,NSW,0.70152914,0.38980748
2003,Females,VIC,0.27111257,0
2003,Females,VIC,0.36044822,0.33744561
2003,Females,QLD,0,0.27933073
2003,Females,QLD,1.28141807,0
2003,Females,SA,0.4747748,0
2003,Females,SA,0.81960539,0
2003,Females,WA,5.12793025,0.30838505
2003,Females,WA,1.1013414,0.19255647
2003,Females,TAS,0.19145019,0.09620593
2003,Females,NT,0.09883606,0.09830674
2004,Males,NSW,2.40994596,0.29635388
2004,Males,NSW,15.40941952,1.56152436
2004,Males,VIC,2.47391387,0
2004,Males,VIC,3.89998643,0.19575278
2004,Males,QLD,2.94931218,0
2004,Males,QLD,17.98680004,0.31565848
2004,Males,SA,1.64095039,0
