,Black coal,Brown coal,Crude oil,Condensate,LPG,Natural Gas,Uranium
2002,3912,573,25516,17488,8119,19881,49
2003,4785,600,29029,21732,8629,24754,34
2004,9593,450,33028,23558,8823,31121,32
2005,13318,555,37485,27209,9021,42190,93
2006,12911,979,40001,29823,9950,45346,431
2007,38971,1495,56124,37733,11262,64453,174
2008,74742,1159,61033,37121,12435,68324,270
2009,88107,311,57350,37699,12247,77059,172
2010,73546,225,51323,38069,11393,88510,399
2011,59404,214,49144,37711,10400,108406,182
2012,17450,282,40903,33459,7573,114445,384
2013,2923,332,38310,35572,7485,151502,226
2014,3070,187,33021,33227,6848,162491,257
2015,2670,260,26577,26596,5072,161345,158
2016,744,335,20476,20381,3660,179574,489
2017,960,385,17699,17362,2382,199506,909
2018,811,385,13420,15705,821,227550,900
