            Australian Bureau of Statistics,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,"Transport, storage and services",Commercial and Services,Total industries
Black coal,0,"12,370",0,0,0,0,0,"12,370"
Brown coal,0,0,0,473,0,0,0,473
Met Coke,0,0,0,0,0,0,0,0
Coal by-products,0,0,0,0,0,0,0,0
Briquettes,0,0,0,0,0,0,0,0
Natural gas,0,"4,824",0,0,0,0,0,"4,824"
LNG,0,0,0,0,0,0,0,0
Crude oil and feedstocks,0,589,0,0,0,0,0,589
Petrol,0,0,0,0,0,0,0,0
Diesel,0,0,0,0,0,0,0,0
Other refined fuels and products,0,0,0,0,0,0,0,0
LPG,0,82,30,0,0,0,0,112
Biofuels,0,0,11,13,0,0,0,23
Wood and wood waste,73,0,21,0,0,0,0,94
Bagasse,0,0,100,0,0,0,0,100
Electricity,0,0,0,0,0,0,0,0
Hydro energy,0,0,0,58,0,0,0,58
Solar energy ,0,0,0,52,0,0,0,53
Wind energy,0,0,0,55,0,0,0,55
