            Australian Bureau of Statistics,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Black coal (a),Gt,39.00,39.00,40.00,39.00,39.00,39.00,42.00,43.00,50.00,59.00,62.00,62.00,65.00,70.00,79.00,91.00,99.00
Black coal (a),PJ,1053000.00,1063800.00,1074600.00,1063800.00,1061100.00,1055700.00,1120500.00,1155600.00,1341900.00,1601100.00,1663200.00,1676700.00,1760400.00,1879200.00,2138400.00,2454300.00,2659500.00
Black coal,$m,3912.00,4785.00,9593.00,13318.00,12911.00,38971.00,74742.00,88107.00,73546.00,59404.00,17450.00,2923.00,3070.00,2670.00,744.00,960.00,811.00
Brown coal (a),Gt,38.00,38.00,38.00,37.00,37.00,37.00,37.00,38.00,42.00,44.00,44.00,44.00,60.00,77.00,77.00,77.00,77.00
Brown coal (a),PJ,368480.00,367500.00,367500.00,366520.00,365540.00,365540.00,364560.00,374360.00,408660.00,433160.00,433160.00,433160.00,590940.00,749700.00,749700.00,749700.00,749700.00
Brown coal,$m,573.00,600.00,450.00,555.00,979.00,1495.00,1159.00,311.00,225.00,214.00,282.00,332.00,187.00,260.00,335.00,385.00,385.00
Crude oil (a),GL,190.00,181.00,179.00,167.00,161.00,175.00,179.00,162.00,146.00,142.00,145.00,140.00,135.00,131.00,128.00,126.00,123.00
Crude oil (a),PJ,7045.00,6682.00,6634.00,6172.00,5957.00,6460.00,6608.00,5979.00,5409.00,5265.00,5347.00,5173.00,4984.00,4851.00,4751.00,4658.00,4533.00
Crude oil,$m,25516.00,29029.00,33028.00,37485.00,40001.00,56124.00,61033.00,57350.00,51323.00,49144.00,40903.00,38310.00,33021.00,26577.00,20476.00,17699.00,13420.00
Condensate (a),GL,265.00,245.00,237.00,235.00,222.00,274.00,331.00,330.00,322.00,308.00,290.00,291.00,316.00,327.00,329.00,334.00,344.00
Condensate (a),PJ,9820.00,9065.00,8762.00,8684.00,8229.00,10138.00,12236.00,12217.00,11903.00,11407.00,10726.00,10782.00,11685.00,12110.00,12177.00,12365.00,12739.00
Condensate,$m,17488.00,21732.00,23558.00,27209.00,29823.00,37733.00,37121.00,37699.00,38069.00,37711.00,33459.00,35572.00,33227.00,26596.00,20381.00,17362.00,15705.00
LPG (a),GL,271.00,230.00,200.00,200.00,190.00,174.00,162.00,153.00,146.00,144.00,146.00,150.00,154.00,157.00,159.00,162.00,165.00
LPG (a),PJ,7182.00,6090.00,5311.00,5297.00,5032.00,4606.00,4290.00,4049.00,3869.00,3827.00,3866.00,3978.00,4078.00,4150.00,4208.00,4290.00,4380.00
LPG,$m,8119.00,8629.00,8823.00,9021.00,9950.00,11262.00,12435.00,12247.00,11393.00,10400.00,7573.00,7485.00,6848.00,5072.00,3660.00,2382.00,821.00
Natural gas (a) (b),Bcm,2553.00,2450.00,2401.00,2394.00,2364.00,2715.00,3027.00,2916.00,2804.00,2644.00,2431.00,2608.00,2959.00,3023.00,3092.00,3214.00,3418.00
Natural gas (a) (b),PJ,99117.00,95137.00,93215.00,92943.00,91794.00,105420.00,117523.00,113236.00,108875.00,102651.00,94376.00,101273.00,114886.00,117364.00,120078.00,124792.00,132725.00
Natural gas (b),$m,19881.00,24754.00,31121.00,42190.00,45346.00,64453.00,68324.00,77059.00,88510.00,108406.00,114445.00,151502.00,162491.00,161345.00,179574.00,199506.00,227550.00
Uranium (a),kt U,682.00,688.00,709.00,715.00,849.00,1073.00,1193.00,1191.00,1176.00,1184.00,1171.00,1159.00,1219.00,1279.00,1280.00,1303.00,1333.00
Uranium (a),PJ,381920.00,385280.00,396760.00,400400.00,475160.00,600880.00,668080.00,666680.00,658280.00,662760.00,655480.00,649040.00,682640.00,715960.00,716800.00,729680.00,746368.00
Uranium,$m,49.00,34.00,32.00,93.00,431.00,174.00,270.00,172.00,399.00,182.00,384.00,226.00,257.00,158.00,489.00,909.00,900.00
