Date,Sex,Location,Industry division of main job,Employed full-time ('000),Employed part-time ('000)
Feb-02,Males,NSW,"Electricity, Gas, Water and Waste Services",14.23373637,0.25408016
Feb-02,Males,NSW,"Electricity, Gas, Water and Waste Services",6.75350388,0
Feb-02,Males,VIC,"Electricity, Gas, Water and Waste Services",7.22180092,0.32472915
Feb-02,Males,VIC,"Electricity, Gas, Water and Waste Services",7.58190498,0.05326857
Feb-02,Males,QLD,"Electricity, Gas, Water and Waste Services",6.02493403,0.04221742
Feb-02,Males,QLD,"Electricity, Gas, Water and Waste Services",5.76423899,0.10579555
Feb-02,Males,SA,"Electricity, Gas, Water and Waste Services",3.76390149,0.0223708
Feb-02,Males,SA,"Electricity, Gas, Water and Waste Services",0.91365224,0.05613318
Feb-02,Males,WA,"Electricity, Gas, Water and Waste Services",4.13171156,0.21656967
Feb-02,Males,WA,"Electricity, Gas, Water and Waste Services",1.85212292,0
Feb-02,Males,TAS,"Electricity, Gas, Water and Waste Services",1.32769286,0.04181984
Feb-02,Males,TAS,"Electricity, Gas, Water and Waste Services",0.67981135,0
Feb-02,Males,NT,"Electricity, Gas, Water and Waste Services",0.76190594,0
Feb-02,Males,NT,"Electricity, Gas, Water and Waste Services",0.66811622,0.11110106
Feb-02,Females,NSW,"Electricity, Gas, Water and Waste Services",2.49216418,0.93408281
Feb-02,Females,NSW,"Electricity, Gas, Water and Waste Services",2.16074459,0.21269127
Feb-02,Females,VIC,"Electricity, Gas, Water and Waste Services",2.62486289,0.35556539
Feb-02,Females,VIC,"Electricity, Gas, Water and Waste Services",0.24459228,0
Feb-02,Females,QLD,"Electricity, Gas, Water and Waste Services",1.68964903,0.35485215
Feb-02,Females,QLD,"Electricity, Gas, Water and Waste Services",0.85155323,0.85738493
Feb-02,Females,SA,"Electricity, Gas, Water and Waste Services",0.96517618,0.18990268
Feb-02,Females,SA,"Electricity, Gas, Water and Waste Services",0.01872201,0
Feb-02,Females,WA,"Electricity, Gas, Water and Waste Services",0.80294265,0.41467399
Feb-02,Females,WA,"Electricity, Gas, Water and Waste Services",0.43640961,0
Feb-02,Females,TAS,"Electricity, Gas, Water and Waste Services",0.28266158,0.12225237
Feb-02,Females,TAS,"Electricity, Gas, Water and Waste Services",0.07976249,0.01094809
Feb-02,Females,NT,"Electricity, Gas, Water and Waste Services",0.35676865,0
Feb-02,Females,NT,"Electricity, Gas, Water and Waste Services",0.12801428,0.01422039
May-02,Males,NSW,"Electricity, Gas, Water and Waste Services",14.10286966,0.05239446
May-02,Males,NSW,"Electricity, Gas, Water and Waste Services",6.99708565,0.10213367
May-02,Males,VIC,"Electricity, Gas, Water and Waste Services",5.81531865,0.66745175
