            Australian Bureau of Statistics,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,"Transport, storage and services",Commercial and Services,Total industries
Black coal,0,0,105,0,0,0,0,105
Brown coal,0,0,0,0,0,0,0,0
Met Coke,0,0,0,0,0,0,0,8
Coal by-products,0,0,0,0,0,0,0,0
Briquettes,0,0,0,0,0,0,0,0
Natural gas,1,122,383,7,0,11,67,592
LNG,0,0,0,0,0,0,0,0
Crude oil and feedstocks,0,1,51,1,0,0,0,53
Petrol,7,0,0,1,18,8,29,70
Diesel,99,281,30,17,109,260,82,880
Other refined fuels and products,0,5,38,3,0,371,0,417
LPG,2,1,5,0,2,3,6,20
Biofuels,0,0,0,0,0,6,0,7
Wood and wood waste,0,0,28,0,0,0,0,29
Bagasse,0,0,0,0,0,0,0,0
Electricity,8,137,290,113,7,17,153,724
Hydro energy,0,0,0,0,0,0,0,0
Solar energy ,0,0,0,0,0,0,0,0
Wind energy,0,0,0,0,0,0,0,0
Uranium,0,0,0,0,0,0,0,0
