            Australian Bureau of Statistics,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,"Transport, storage and services",Commercial and Services,Total industries
Black coal,0.00,12370.00,0.00,0.00,0.00,0.00,0.00,12370.00
Brown coal,0.00,0.00,0.00,473.00,0.00,0.00,0.00,473.00
Met Coke,0.00,0.00,68.00,0.00,0.00,0.00,0.00,68.00
Coal by-products,0.00,0.00,44.00,0.00,0.00,0.00,0.00,44.00
Briquettes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Natural gas,0.00,4824.00,0.00,0.00,0.00,0.00,0.00,4824.00
LNG,0.00,3376.00,0.00,0.00,0.00,0.00,0.00,3376.00
Crude oil and feedstocks,0.00,589.00,0.00,0.00,0.00,0.00,0.00,589.00
Petrol,0.00,0.00,390.00,0.00,0.00,0.00,0.00,390.00
Diesel,0.00,0.00,355.00,0.00,0.00,0.00,0.00,355.00
Other refined fuels and products,0.00,0.00,399.00,0.00,0.00,0.00,0.00,399.00
LPG,0.00,82.00,30.00,0.00,0.00,0.00,0.00,112.00
Biofuels,0.00,0.00,11.00,13.00,0.00,0.00,0.00,23.00
Wood and wood waste,73.00,0.00,21.00,0.00,0.00,0.00,0.00,94.00
Bagasse,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00
Electricity,0.00,61.00,24.00,838.00,4.00,0.00,1.00,930.00
Hydro energy,0.00,0.00,0.00,58.00,0.00,0.00,0.00,58.00
Solar energy ,0.00,0.00,0.00,52.00,0.00,0.00,0.00,53.00
Wind energy,0.00,0.00,0.00,55.00,0.00,0.00,0.00,55.00
Uranium,0.00,3127.00,0.00,0.00,0.00,0.00,0.00,3127.00
