Date,Sex,Location,Industry division of main job,Employed full-time ('000),Employed part-time ('000)
Feb-2002,Males,NSW,Mining,1.39163482,0
Feb-2002,Males,NSW,Mining,13.43917492,0
Feb-2002,Males,VIC,Mining,1.19888092,0.35408597
Feb-2002,Males,VIC,Mining,2.77636417,0
Feb-2002,Males,QLD,Mining,3.02951629,0.26645255
Feb-2002,Males,QLD,Mining,13.44190256,0
Feb-2002,Males,SA,Mining,2.25548114,0.16985069
Feb-2002,Males,SA,Mining,0.75157245,0
Feb-2002,Males,WA,Mining,15.92291843,0.18229721
Feb-2002,Males,WA,Mining,14.64294949,0.19786015
Feb-2002,Males,TAS,Mining,1.64060058,0.18069099
Feb-2002,Males,NT,Mining,1.41601854,0.14460338
Feb-2002,Males,NT,Mining,0.09535705,0
Feb-2002,Females,NSW,Mining,0.3223432,0
Feb-2002,Females,NSW,Mining,0.35777097,0.36781134
Feb-2002,Females,VIC,Mining,0.53095302,0.27043536
Feb-2002,Females,QLD,Mining,0.31313439,0.24789735
Feb-2002,Females,QLD,Mining,1.00145697,0
Feb-2002,Females,SA,Mining,0.3313664,0
Feb-2002,Females,SA,Mining,0,0.14329336
Feb-2002,Females,WA,Mining,2.44619423,0.83931465
Feb-2002,Females,WA,Mining,2.27029972,0.20057831
Feb-2002,Females,NT,Mining,0.31760634,0
May-2002,Males,NSW,Mining,1.76531093,0
May-2002,Males,NSW,Mining,11.67211304,0.32953584
May-2002,Males,VIC,Mining,2.64779519,0.25759352
May-2002,Males,VIC,Mining,1.42236295,0
May-2002,Males,QLD,Mining,2.98199178,0
May-2002,Males,QLD,Mining,14.20527855,0
May-2002,Males,SA,Mining,2.43313929,0
May-2002,Males,SA,Mining,0.42145219,0.16853871
May-2002,Males,WA,Mining,16.55202309,0
May-2002,Males,WA,Mining,13.68521257,0
May-2002,Males,TAS,Mining,1.53567489,0.18043016
May-2002,Males,NT,Mining,1.24333496,0
May-2002,Females,NSW,Mining,1.00428397,0.33312849
May-2002,Females,VIC,Mining,0.27151432,0.26740376
May-2002,Females,QLD,Mining,0.2034171,0
May-2002,Females,QLD,Mining,1.28392617,0
May-2002,Females,SA,Mining,0.48943434,0
May-2002,Females,WA,Mining,3.34773977,0.52295954
May-2002,Females,WA,Mining,3.14095221,0
May-2002,Females,NT,Mining,0.55274639,0
Aug-2002,Males,NSW,Mining,1.82618018,0
Aug-2002,Males,NSW,Mining,11.63953511,0
Aug-2002,Males,VIC,Mining,4.0834037,0
Aug-2002,Males,VIC,Mining,1.99032188,0
Aug-2002,Males,QLD,Mining,2.08497795,0
Aug-2002,Males,QLD,Mining,13.57305823,0
Aug-2002,Males,SA,Mining,3.07854831,0
Aug-2002,Males,SA,Mining,0.51678847,0.17682261
Aug-2002,Males,WA,Mining,17.07151774,0
Aug-2002,Males,WA,Mining,10.68596616,0.16147055
Aug-2002,Males,TAS,Mining,0.18361323,0
Aug-2002,Males,TAS,Mining,1.4103321,0
Aug-2002,Males,NT,Mining,1.75771714,0
Aug-2002,Females,NSW,Mining,0.6387399,0
Aug-2002,Females,NSW,Mining,0.68060895,0
Aug-2002,Females,VIC,Mining,0,0.25529048
Aug-2002,Females,QLD,Mining,0.23556378,0
Aug-2002,Females,QLD,Mining,0.99437073,0.23127307
Aug-2002,Females,WA,Mining,3.26945608,0.17524231
Aug-2002,Females,WA,Mining,2.36848023,0
Aug-2002,Females,TAS,Mining,0.16364039,0.0848217
Aug-2002,Females,NT,Mining,0.32281734,0
Nov-2002,Males,NSW,Mining,3.16333556,0
Nov-2002,Males,NSW,Mining,11.82904437,0.57393651
Nov-2002,Males,VIC,Mining,3.95245368,0
Nov-2002,Males,VIC,Mining,3.70257073,0
Nov-2002,Males,QLD,Mining,2.77586969,0.2322937
Nov-2002,Males,QLD,Mining,17.45089129,0
Nov-2002,Males,SA,Mining,2.7415224,0
Nov-2002,Males,SA,Mining,0.36996503,0
Nov-2002,Males,WA,Mining,18.26858258,0.16989856
Nov-2002,Males,WA,Mining,10.66747941,0
Nov-2002,Males,TAS,Mining,0.3092108,0
Nov-2002,Males,TAS,Mining,1.68690876,0.08023553
Nov-2002,Males,NT,Mining,2.47841634,0
Nov-2002,Females,NSW,Mining,0.33411222,0
Nov-2002,Females,VIC,Mining,0.36440184,0.28435689
Nov-2002,Females,QLD,Mining,0.49148787,0
Nov-2002,Females,QLD,Mining,1.52308211,0
Nov-2002,Females,SA,Mining,0,0.18314782
Nov-2002,Females,WA,Mining,2.32094363,1.09363702
Nov-2002,Females,WA,Mining,1.67885732,0.40078923
Nov-2002,Females,TAS,Mining,0.09974774,0
Nov-2002,Females,NT,Mining,0.18162698,0.16282135
Feb-2003,Males,NSW,Mining,3.95829964,0.34568116
Feb-2003,Males,NSW,Mining,16.67087707,0.74779976
Feb-2003,Males,VIC,Mining,3.6730687,0.24602698
Feb-2003,Males,VIC,Mining,3.3993642,0
Feb-2003,Males,QLD,Mining,3.99005423,0
Feb-2003,Males,QLD,Mining,11.350361,0
Feb-2003,Males,SA,Mining,2.15845951,0
Feb-2003,Males,SA,Mining,4.88681147,0
