            Australian Bureau of Statistics,I0ut,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Natural i0ut,Black coal,Flows from the environment,PJ,7287.00,7535.00,8055.00,8141.00,8632.00,8651.00,9009.00,9759.00,9244.00,9885.00,10902.00,11807.00,12288.00,12157.00,12162.00,12370.00
Supply,Natural i0ut,Brown coal,Flows from the environment,PJ,732.00,727.00,737.00,745.00,728.00,732.00,752.00,759.00,737.00,745.00,645.00,625.00,678.00,635.00,584.00,473.00
Supply,Natural i0ut,Coke,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Coal by-products,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Briquettes,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Natural gas,Flows from the environment,PJ,1462.00,1463.00,1638.00,1725.00,1910.00,1977.00,2083.00,2190.00,2398.00,2273.00,2605.00,2691.00,2777.00,3500.00,4233.00,4824.00
Supply,Natural i0ut,LNG,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Crude oil and feedstocks,Flows from the environment,PJ,1233.00,1032.00,941.00,860.00,1036.00,963.00,1093.00,1069.00,1015.00,935.00,838.00,780.00,726.00,701.00,621.00,589.00
Supply,Natural i0ut,Petrol,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Diesel,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Other refined fuels and products,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,LPG,Flows from the environment,PJ,175.00,158.00,165.00,172.00,199.00,183.00,183.00,181.00,176.00,168.00,162.00,161.00,138.00,132.00,113.00,112.00
Supply,Natural i0ut,Biofuels,Flows from the environment,PJ,11.00,11.00,9.00,10.00,11.00,15.00,20.00,23.00,26.00,28.00,26.00,29.00,28.00,23.00,22.00,23.00
Supply,Natural i0ut,Wood and wood waste,Flows from the environment,PJ,105.00,103.00,100.00,99.00,99.00,99.00,89.00,88.00,85.00,83.00,91.00,93.00,92.00,96.00,98.00,94.00
Supply,Natural i0ut,Bagasse,Flows from the environment,PJ,95.00,101.00,108.00,109.00,111.00,111.00,65.00,93.00,83.00,85.00,95.00,90.00,103.00,103.00,110.00,100.00
Supply,Natural i0ut,Electricity,Flows from the environment,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Hydro energy,Flows from the environment,PJ,59.00,59.00,56.00,58.00,52.00,43.00,43.00,49.00,61.00,51.00,66.00,66.00,48.00,55.00,59.00,58.00
