"46040DO0001 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 Energy indicators, Australia, ending June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net energy use index,"GDP, Chain volume series - Index",Degree of self sufficiency,Renewable energy supply of total domestic net energy use,Share of renewable energy in net energy inputs,Government use of net domestic energy,Estimated resident population - Australia,Estimated number of households -  Australia,Energy use (Net) - per person,Energy use (Net) - per household,Gas costs - per household,Petroleum costs - per household,Electricity costs - per household,Total energy costs - per household,Energy extracted (Net) - per household,Renewable energy extracted by households,Energy intensity - Agriculture,Energy intensity - Mining,Energy intensity - Manufacturing,"Energy intensity - Electricity, gas, water supply and waste services",Energy intensity - Construction,Energy intensity - Transport,Energy intensity - Commercial & Services,Energy intensity - All selected industries,Remaining resource life - Black coal,Remaining resource life - Brown coal,Remaining resource life - Crude oil,Remaining resource life - condensate,Remaining resource life - LPG,Remaining resource life - Natural gas,Remaining resource life - Uranium,Extraction rate - Black coal,Extraction rate - Brown coal,Extraction rate - Crude oil,Extraction rate - Condensate,Extraction rate - LPG,Extraction rate - Natural gas,Extraction rate - Uranium
Unit,Index,Index,Percent,Percent,Percent,Percent,Persons,Households,GJ,GJ,$,$,$,$,GJ,GJ,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,Years,Years,Years,Years,Years,Years,Years,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2009,Jun-2009,Jun-2009,Jun-2009,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003
Series End,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018
No. Obs,16,16,16,16,16,16,16,16,16,16,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Data Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Jun-2003,100.0,100.0,307.0,8.5,1.7,2.6,"19,720,737.0","7,264,723.0",55.7,151.3,na,na,na,na,6.3,45.9,"2,469.1","3,127.3","8,701.5","3,462.5",968.3,"7,295.9",277.0,"1,942.5",142.3,561.2,8.4,33.6,38.2,71.9,74.1,0.7,0.2,11.9,3.0,2.6,1.4,1.3
