            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Natural input,Black coal,Flows from the environment,,,,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Supply,Natural input,Brown coal,Flows from the environment,,,,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Supply,Natural input,Coke,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural input,Coal by-products,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural input,Briquettes,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural input,Natural gas,Flows from the environment,,,,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Supply,Natural input,LNG,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural input,Crude oil and feedstocks,Flows from the environment,,,,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Supply,Natural input,Petrol,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural input,Diesel,Flows from the environment,,,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
