"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Black coal,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
